City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cape town,-33.9258,18.4232,15.77,79,0,1.54,ZA,1681277925
84,wewak,-3.5534,143.6268,26.44,83,100,2.97,PG,1681277927
85,guerrero negro,27.9769,-114.0611,13.88,88,8,5.89,MX,1681277666
86,atambua,-9.1061,124.8925,27.74,72,75,2.88,ID,1681277929
87,blind river,46.1834,-82.9582,5.06,88,82,0.73,CA,1681277931
88,wladyslawowo,54.7909,18.4009,8.3,94,100,1.87,PL,1681277932
89,vila franca do campo,37.7167,-25.4333,14.23,87,90,2.6,PT,1681277933
90,winslow,35.0242,-110.6974,16.1,31,0,5.14,US,1681277936
91,liverpool,53.4106,-2.9779,4.32,82,20,5.66,GB,1681277937
92,troitskoye,52.9821,84.6757,1.72,44,74,4.24,RU,1681277939
93,hithadhoo,-0.6,73.0833,28.33,69,11,1.25,MV,1681277940
94,lebu,-37.6167,-73.65,12.71,97,97,2.82,CL,1681277941
95,mahebourg,-20.4081,57.7,26.25,89,75,3.09,MU,1681277816
96,takoradi,4.8845,-1.7554,26.44,87,89,3.24,GH,1681277942
97,barrow,71.2906,-156.7887,-21.99,84,100,3.6,US,1681277943
98,hermanus,-34.4187,19.2345,14.33,66,99,2.58,ZA,1681277943
99,provideniya,64.3833,-173.3,-16.94,55,0,6.0,RU,1681277944
100,ostrovnoy,68.0531,39.5131,-3.44,73,100,8.71,RU,1681277944
101,geneva,41.8875,-88.3054,19.88,56,0,4.63,US,1681277945
102,talnakh,69.4865,88.3972,-20.12,91,100,2.18,RU,1681277946
103,san ignacio,17.1561,-89.0714,26.08,73,75,3.09,BZ,1681277892
104,adrar,20.5022,-10.0711,22.97,45,97,0.65,MR,1681277949
105,novki,56.3608,41.0775,11.32,55,96,0.3,RU,1681277952
106,nanortalik,60.1432,-45.2371,-0.69,83,93,1.49,GL,1681277953
107,nikolskoye,59.7035,30.7861,7.67,74,100,1.01,RU,1681277955
108,dikson,73.5069,80.5464,-19.63,92,100,9.46,RU,1681277957
109,kaitangata,-46.2817,169.8464,11.64,96,100,4.71,NZ,1681277962
110,chokurdakh,70.6333,147.9167,-16.13,89,96,1.85,RU,1681277964
111,klaksvik,62.2266,-6.589,3.51,85,30,3.6,FO,1681277966
112,tayu,-6.5397,111.0518,29.69,72,99,3.65,ID,1681277968
113,tuktoyaktuk,69.4541,-133.0374,-19.0,84,75,4.12,CA,1681277972
114,iqaluit,63.7506,-68.5145,-8.15,79,100,5.14,CA,1681277973
115,tautira,-17.7333,-149.15,26.47,77,100,2.1,PF,1681277975
116,merauke,-8.4667,140.3333,28.41,73,100,2.32,ID,1681277976
117,tual,-5.6667,132.75,29.02,71,98,4.08,ID,1681277977
118,saldanha,-33.0117,17.9442,9.03,72,100,2.17,ZA,1681277980
119,estelle,29.8458,-90.1067,21.0,83,20,2.06,US,1681277981
120,alexandria,31.2156,29.9553,12.3,62,76,9.05,EG,1681277880
121,katangli,51.7102,143.2326,-2.24,95,100,11.89,RU,1681277988
122,totness,5.8833,-56.3167,24.76,90,83,3.45,SR,1681277988
123,sur,22.5667,59.5289,29.18,53,100,2.49,OM,1681277991
124,grindavik,63.8424,-22.4338,2.26,93,40,0.51,IS,1681277992
125,salalah,17.0151,54.0924,29.05,70,75,3.6,OM,1681277910
126,upernavik,72.7868,-56.1549,-12.64,81,90,1.76,GL,1681277995
127,lazaro cardenas,17.9583,-102.2,24.3,71,20,1.32,MX,1681277997
128,waddan,29.1614,16.139,11.56,62,0,0.33,LY,1681277998
129,dharchula,29.85,80.5333,28.11,16,26,3.5,IN,1681277999
130,kodiak,57.79,-152.4072,4.73,60,100,5.66,US,1681277999
131,oistins,13.0667,-59.5333,25.05,73,40,7.2,BB,1681277762
132,tilichiki,60.4667,166.1,-13.07,83,91,3.41,RU,1681278000
133,nuqui,5.7125,-77.2708,25.77,88,97,2.56,CO,1681278001
134,mehamn,71.0357,27.8492,-1.03,64,75,2.57,NO,1681278001
135,punta arenas,-53.15,-70.9167,2.06,60,0,4.12,CL,1681277780
136,kashi,39.4547,75.9797,20.56,15,0,3.0,CN,1681278002
137,jalu,29.0331,21.5482,14.27,63,0,4.82,LY,1681278003
138,yaremche,48.4583,24.5519,4.41,99,100,1.8,UA,1681278004
139,boende,-0.2167,20.8667,21.26,97,100,1.85,CD,1681278005
140,daru,-9.0763,143.2092,28.93,71,94,3.23,PG,1681278005
141,hualmay,-11.0964,-77.6139,23.6,84,51,3.14,PE,1681278006
142,yumen,40.2833,97.2,18.24,13,73,4.21,CN,1681278006
143,lamar,33.6668,-95.5836,15.95,63,0,2.06,US,1681278007
144,victoria,22.2855,114.1577,26.03,99,52,2.75,HK,1681278008
145,sanming,26.2486,117.6186,26.19,79,82,1.5,CN,1681278009
146,ulaanbaatar,47.9077,106.8832,10.07,20,20,8.0,MN,1681278010
147,sao joao da barra,-21.6403,-41.0511,23.1,80,59,2.54,BR,1681278010
148,lenoir,35.2335,-77.6497,11.73,81,0,2.57,US,1681278011
149,owase,34.0667,136.2,19.04,78,98,1.1,JP,1681278012
150,hasaki,35.7333,140.8333,22.9,76,97,13.4,JP,1681278013
151,la rioja,42.25,-2.5,7.87,49,99,3.51,ES,1681278013
152,airai,-8.9266,125.4092,22.01,77,59,1.11,TL,1681278014
153,kristiansund,63.1115,7.732,6.03,93,0,1.03,NO,1681278014
154,vigrestad,58.5667,5.7,6.44,80,86,13.4,NO,1681278015
155,ketchikan,55.3422,-131.6461,3.99,86,0,1.54,US,1681278016
156,puerto baquerizo moreno,-0.9,-89.6,26.73,74,67,0.3,EC,1681278017
157,nizhneangarsk,55.7833,109.55,-3.96,88,100,2.77,RU,1681278019
158,ankang,32.68,109.0172,24.18,35,100,1.49,CN,1681278019
159,birjand,32.8663,59.2211,28.26,9,0,2.06,IR,1681278020
160,ondjiva,-17.0667,15.7333,22.45,52,80,1.5,AO,1681278021
161,jining,35.405,116.5814,24.16,24,59,6.71,CN,1681278022
162,faya,18.3851,42.4509,19.29,32,8,3.27,SA,1681278022
163,carnarvon,-24.8667,113.6333,25.73,44,40,8.34,AU,1681278023
